workerid,item,response,response_type,partial,condition
2097,10,Kamala with Donald running after it crying says the election was stolen from him again,pronoun male,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1764,2,preparing America for an age of AI and abundance,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2339,8,they will lead the united states of america for at least 4 years.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2746,1,President Trump will do is to close the US borders.,Trump,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2035,8,Kamala Harris,Harris,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2536,12,the president's safety.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1604,5,inflation will be reduced,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
2380,1,they will do is make a speech.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
1622,1,they will do is overturn all the positive progress made by the democratic polices.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
1522,3,president elect,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2316,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2186,3,likely no violence will ensue.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2653,5,she made during her campaign.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2291,12,that the newly sworn in President will be able to travel safely.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1590,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2787,3,do the best they possibly can given the difficult nature of securing a person of such high public interest.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1687,12,safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1662,5,America will be great,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
2716,2,"That depends on who is elected. If Donald Trump is elected, he will ddiscuss immigration and the economy. If Harris is elected, she will discuss the new taxes that she plans to implement.",pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2720,10,heavily guarded.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1488,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
1773,9,6718a49603af514aabbadbab,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2472,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1499,12,the saftey of the president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1975,12,the president's safety.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2646,2,"unity, inequality, ending corruption, and improving the country.",OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1609,9,those challenges is climate change,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2124,11,they go to prepare for the necessary presidential transitions and training needed.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1527,12,the safety and arrival of the president,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1496,9,them being the issues with illegal immigrants.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2184,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1814,3,Vice President,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2289,9,them,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1433,9,these challenges is how to deal with the national debt.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2608,12,that the president arrives at their destination safely.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1976,1,the newly elected President will do is redecorate,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1729,10,highly secure and well coordinated.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1747,9,most divided electorate in decades.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2959,1,the president does is sign a bill.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1432,8,Donald J. Trump,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2936,1,the president will do is appoint her/his cabinet.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2568,10,made up of vehicles equipped with advanced technology to protect the president,ambiguous NP,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1725,2,that we all must stand together and unite to solve our country's problems.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1889,3,the Vice President.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1923,2,"their strong economic policy, immigration, and trade wars.",pronoun neutral,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
1650,12,the safety of their arrival.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1737,9,the greatest crises this country has ever faced.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2066,5,they might fix the inflation.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2135,11,he/she goes under a microscope in order to see how this person helps the country after this important election.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1487,2,unity amongst Americans.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2978,12,their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1821,9,these challenges will be reuniting a divided country.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1843,3,serve their country.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2661,12,safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2836,1,The security must be tight,OTHER,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
1577,2,love and freedom.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1878,1,they will do is sit on a comfy chair.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1509,12,the safety of the president while traveling domestic and internationally.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2830,9,them will be inflation.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1541,8,Donald J. Trump will pledge to uphold the Constitution.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2921,8,Kamala Harris will see that Trump is sent to jail.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2567,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2835,1,They will do is give a speech,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
2125,11,they go for precaution and general security concerns.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2599,8,"he/she is a part of the Executive branch that is separate from the legislative, and judicial branches.",hedged,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2163,1,the new president does is get to work by appointing cabinet members and hiring staff,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2252,1,the president will do is sign new policies into place.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2755,12,the safety and protection of the new President.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1890,4,it is announced who it is going to be,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2239,4,Kamala Harris wins.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2043,3,their family,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1982,3,secure the area around the inauguration.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2374,5,the economy will get better,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
2831,12,"the safety and security of the President, crew, and any other individuals on board.",ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1560,9,them will be easy.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2340,2,"Support for the middle class, safeguarding that women will have control of their own bodies, addressing challenges with regard to immigration",pronoun neutral,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2460,9,the biggest issues being the economy,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1771,10,closely guarded.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2139,12,the president's safety throughout their time in office.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1561,2,democracy,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2047,5,were made during that Party's TV commercials because campaigning is just a strategy to win an election and actually has no correlation to what the candidate will actually do when once in office.,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
2667,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2117,5,he made during the campaign,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2821,1,Donald Trump will do is close the border.,Trump,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1781,4,they take office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2011,9,them will be the border wall.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2741,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2082,5,she made on the campaign trail.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1872,3,and provide the president with transportation,ambiguous NP,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2579,12,their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2057,4,They are elected,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2296,9,the parties will be upset.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2345,12,safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2032,11,he goes to speak to the public or meet with dignitaries.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1959,1,Kamala Harris,Harris,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2038,1,the president will carry out will be report to congress.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1414,4,they take office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1754,1,they will do is assemble a meeting.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2700,9,the challenges will be economics.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2272,3,his family.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1578,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1726,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2456,12,the safety of the President,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2281,4,they take the oath and begin their term.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2780,12,the president's safety.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2878,9,the biggest challenges is immigration.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2649,9,the most demanding jobs in the U.S..,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1904,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1563,1,the new president will do is introduce themselves to staff,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1699,2,about the new freedom economy that she is fixing to try to install,pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2519,2,How they will bring down inflation and make the us more affordable.,pronoun neutral,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1971,10,black SUVs and police and military escorts.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2192,4,he/she accepts the honor,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1950,9,"them involves lowering the costs of living for citizens (groceries, gas, insurance, residential).",OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2397,10,driving down Pennsylvania to sidelines of supporters,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2932,1,The President does is pick his cabinet members,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1768,5,they said during the election.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1931,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2014,10,heavily guarded by Secret Service.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2021,4,the inauguration is held.,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2432,9,many,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2025,3,follow him everywhere he goes,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2605,10,black.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2733,1,they will do is,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2739,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2933,3,the vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2874,1,will happen is that the president will move into the White House.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2704,3,ensure their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2085,2,on what they intend to do during the next four years.,pronoun neutral,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
1644,10,driving the president to the white house.,ambiguous NP,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1481,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2564,10,full of joy.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1600,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2065,12,safe arrival.,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1408,2,how wonderful it is to have a woman president for the first time!!!!,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2028,3,vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2501,10,Land Rover,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2799,4,Harris becomes the first female US President.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2760,4,they give their speech.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1583,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2784,4,she takes the oath,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1770,1,the newly elected president will do is settle in to their new home.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1475,8,they will be in charge of the nation.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
1682,10,ready to go,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2944,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2187,12,the president's safety.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1753,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2590,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2279,5,they make on the campaign trail.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2485,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2215,12,the safety of the president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2510,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
1436,8,they are responsible for the well-being of the United States.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2092,10,waiting to drive him or her to the White House after the swearing in ceremony.,pronoun female,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1805,5,he or she spoke about while campaigning.,hedged,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2133,11,he goes in the United States.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1955,1,President Trump will do is set fire to the white house,Trump,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1676,12,the safety of the US president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2098,1,she will do is come up with a plan to fix the economy.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1861,5,fixing the economy will be an immediate or easy task.,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2104,10,waving Republican banners,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2953,8,the President has control over the military.,ambiguous NP,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1443,12,the safe transfer to and from the US Capitol building on this day.,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1565,8,she will be responsible for leading the US's ongoing support of Ukraine.,pronoun female,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2620,2,Her plans of action for the next four years of her presidency.,pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2927,1,the first lady will do is redecorate.,OTHER,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2540,9,the problems is the Maga crowd trying to over turn the election like they did for the last election,pronoun neutral,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1393,10,i dont know,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2724,1,they will do is assemble their cabinet.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1949,9,the most polarized elections in recent history.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1945,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2837,9,the most severely divided country's in our history.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2776,10,lubricated. (??? idk what a motorcade is),OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2056,4,the president is sworn into office,ambiguous NP,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2005,10,large,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2018,4,the President takes the oath of office.,ambiguous NP,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2731,10,heavily guarded,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2195,9,them is to unify this country.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2843,5,they made during the campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2465,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2903,3,the vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2879,8,of the United States of America,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2181,9,them is leading the American people.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
