workerid,item,response,response_type,partial,condition,batch,y,sentence,election
1867,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,she,11,Harris-Trump
2765,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,she,11,Harris-Trump
1766,4,they are elected.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1526,12,That the person elected gets to their destinations safely.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2627,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2211,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
1762,3,their family,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
2188,3,make sure of their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
1636,1,they will do is get started working in their job.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
1903,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
2214,5,she has promised. It is too early to see. Hopefully this country is headed in the right direction.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,she,5,Harris-Trump
2194,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2499,5,they bring crypto friendly policies to light.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2333,11,his appointments or obligations may lead him.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
1623,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1423,4,they are inaugurated.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1430,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1625,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1549,4,"The next US president will be sworn into office in January 2025. The entire world will be watching the president when they outline their vision for domestic and international policies, addressing key issues such as climate change, economic recovery, and geopolitical tensions, which will significantly impact global stability and cooperation",pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2632,5,they made during their campaign,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
1823,4,they take the stage.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2885,1,Trump will do is issue a self-pardon and various blanket pardons to his henchmen.,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,he,1,Harris-Trump
1806,5,they had announced and addressed.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2669,4,she is sworn into office.,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,she,4,Harris-Trump
2111,3,His family.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,he,3,Harris-Trump
2898,4,he begins what he started 4 years ago.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2803,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2516,4,they accept the position.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2924,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2854,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1441,8,they will lead the country and respresent the citizens for the next 4 years.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
1862,3,their family from potential threats.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
1944,4,they are sworn in,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2696,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2372,8,he will be in charge of the country.,pronoun male,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,he,8,Harris-Trump
1707,8,they will be responsible for,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
1740,4,they give their speech.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2006,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2509,4,"they take over the Oval Office, waiting to see what sort of changes the leadership will cause on pressing issues such as immigration and the economy.",pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2007,4,he delivers his acceptance speech to the country.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2766,10,heavily guarded as it transports the president to their new home to ensure peaceful transfer of power.,pronoun neutral,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event,pre,neutral,10,Harris-Trump
1691,5,they have made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
1446,12,her safety.,pronoun female,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,she,12,Harris-Trump
2122,8,he will be responsible for many important decisions in the United States.,pronoun male,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,he,8,Harris-Trump
1718,4,they are sworn in.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1642,11,They go to.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2838,4,he gives his first speech,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2498,8,they will hold office for the next 4 years.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
1392,1,the new president will do is be briefed on their future duties.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2575,2,on his policies,pronoun male,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,he,2,Harris-Trump
2020,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2807,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2075,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2659,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2081,3,their family.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
1980,9,the most daunting is to unify Americans in support of their government.,pronoun neutral,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event,pre,neutral,9,Harris-Trump
2266,5,he will do,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,he,5,Harris-Trump
1827,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2950,5,they made during their campaign,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2402,3,his family,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,he,3,Harris-Trump
2535,12,their safe travel upon assuming office.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2401,1,he or she will do is send billions of dollars to fund the genocide in Palestine.,hedged,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2856,2,on what he is willing  to do for the country,pronoun male,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,he,2,Harris-Trump
2157,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2058,12,the safety of the President wherever they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
1724,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2145,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,she,11,Harris-Trump
1632,1,on his list is to appoint members to his administration.,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,he,1,Harris-Trump
2922,5,He will appreciate some social and economical patterns in politics which will predict and make some claims for the future.,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,he,5,Harris-Trump
2506,3,and keep him or her safe,pronoun female,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,she,3,Harris-Trump
2041,4,she is inaugurated,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,she,4,Harris-Trump
1924,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2329,12,they will arrive in DC safely and swiftly in preparation for the inauguration.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2615,4,they take their first actions.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
sentence,time,md5,code,news,age,gender,state,education,politics,citizenship,native,residence,completion,expt,prefix,pronoun,none,male,neutral,female,both,ambiguous,y,election
5,1476631952,cf3c911cd3c7db7e413d246a217e754e,147904,daily,59,Male,FL,Some college,Democrat,TRUE,TRUE,TRUE,he or she made during the primary campaign.,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
11,1476633630,4e39685e8d9b506e93ffaa11046c9af6,467302,daily,27,Male,FL,Some college,Independent,TRUE,TRUE,TRUE,they go,10,"Once the general election is over, the president will be followed by the press wherever",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
12,1476633836,6b654def8eb5b9ec06ffc471689a1e5d,195410,weekly,31,Female,TX,4-year college degree,None,TRUE,TRUE,TRUE,the president's safety.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476634196,e9c64dacfbc7c63bc44a1928abf55e65,866658,daily,51,Male,AR,4-year college degree,Republican,TRUE,TRUE,TRUE,they will do is relax and do none of the tings they promised during the race to get them elected.,10,"After moving into the Oval Office, one of the first things that",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
2,1476634203,1e35250d8819bc03cfd348b63a9e3a4b,683253,daily,43,Male,PA,4-year college degree,Other,TRUE,TRUE,TRUE,their agenda during the presidency,10,"During the inauguration speech, the president will emphasize",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
3,1476634449,761ff39e8801061f177685056675af62,380684,daily,38,Female,FL,Some college,Independent,TRUE,TRUE,TRUE,ENSURE THEIR SAFETY,10,"Even before Inauguration Day, the Secret Service will protect the president and",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
4,1476634704,1cfb5df3e1c2f197acb50a6ef3ac2ff8,60364,daily,55,Female,CA,4-year college degree,Democrat,TRUE,TRUE,TRUE,he or she first addresses the nation.,10,The entire world will be watching the president when,both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
